               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097356,            0.040186,                   0,             0.45848,             0.39056,             0.33463,             0.15121,            0.070194,            0.024579,                   0,            0.070625,           0.0032639,           0.0032639
                   1,            0.066368,             0.03263,                   0,             0.48927,             0.61373,             0.48118,             0.23771,            0.066112,            0.017479,                   0,            0.040494,           0.0064666,           0.0064666
                   2,            0.063034,            0.028955,                   0,             0.50595,             0.61534,             0.49673,             0.24607,            0.058123,            0.013558,                   0,            0.010232,           0.0095373,           0.0095373
                   3,            0.056314,            0.027177,                   0,             0.38676,             0.56652,             0.43724,             0.20471,            0.055412,            0.015325,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.050552,            0.025231,                   0,             0.58252,             0.68455,             0.63575,             0.36467,            0.046079,            0.012522,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.045897,            0.024386,                   0,              0.5577,             0.72786,             0.62459,              0.3326,            0.043594,            0.012939,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.044624,            0.025659,                   0,             0.71192,             0.75304,             0.72855,              0.3945,            0.040018,            0.012861,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.041602,            0.023471,                   0,             0.73972,             0.79895,             0.77807,             0.44523,            0.036983,             0.01257,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.039649,            0.023605,                   0,             0.71017,             0.77682,             0.75263,             0.41717,            0.037585,            0.012804,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.039743,            0.022617,                   0,             0.75071,             0.77682,             0.73964,             0.46126,            0.034175,            0.012657,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.037192,            0.022673,                   0,             0.72787,             0.78112,             0.73715,             0.45639,            0.035737,            0.013442,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.035977,            0.021788,                   0,             0.72877,             0.81974,             0.75507,             0.45193,            0.035634,            0.012485,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.035567,            0.021209,                   0,             0.74728,             0.79399,             0.75783,             0.44701,            0.035702,            0.012799,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.034918,            0.021058,                   0,             0.73331,             0.79614,             0.75025,             0.49169,            0.034338,            0.012633,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.035552,            0.020996,                   0,             0.71411,             0.82618,             0.76075,              0.5026,            0.032531,            0.012221,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.035368,            0.021917,                   0,             0.72832,             0.80687,             0.75407,             0.49917,             0.03247,            0.012391,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.033279,            0.021289,                   0,             0.76266,             0.74464,             0.78631,              0.5005,            0.032822,            0.012486,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.034577,            0.021958,                   0,             0.73838,             0.82367,             0.79059,             0.46447,            0.034013,             0.01241,                   0,            0.006832,            0.006832,            0.006832
