               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08636,            0.041157,                   0,             0.42217,             0.51931,             0.34571,             0.13118,            0.062788,            0.023144,                   0,            0.070625,           0.0032639,           0.0032639
                   1,            0.061531,            0.031385,                   0,             0.41049,              0.5794,              0.4035,             0.20428,            0.061886,            0.015598,                   0,            0.040494,           0.0064666,           0.0064666
                   2,            0.059201,            0.027516,                   0,             0.49949,             0.59657,             0.53642,             0.27091,            0.049296,            0.013051,                   0,            0.010232,           0.0095373,           0.0095373
                   3,            0.051928,            0.025401,                   0,             0.72213,             0.78633,              0.7183,             0.33975,            0.043893,            0.014084,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.045578,            0.023578,                   0,             0.72838,             0.81139,             0.73751,             0.41223,            0.040916,            0.012771,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.042166,            0.022824,                   0,             0.73576,             0.82833,             0.76732,             0.48549,            0.035083,            0.012039,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.041257,            0.023711,                   0,             0.71918,             0.79399,             0.75349,             0.48291,            0.038065,            0.011588,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.038152,            0.021875,                   0,             0.73075,             0.81539,             0.72636,             0.43302,            0.037156,            0.012004,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.036463,            0.021773,                   0,             0.76737,             0.83262,             0.77957,             0.51439,            0.034131,            0.011758,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.037057,            0.021153,                   0,             0.76661,             0.81974,             0.75481,             0.45868,            0.035425,            0.011898,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.034991,            0.020984,                   0,             0.72938,             0.87554,             0.76073,             0.49796,            0.032756,             0.01174,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.033696,             0.02034,                   0,             0.75335,             0.84764,             0.75252,             0.49183,            0.033292,             0.01221,                   0,             0.00802,             0.00802,             0.00802
