               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092597,            0.022065,                   0,             0.38111,             0.17576,             0.15561,            0.060635,            0.070638,            0.018517,                   0,            0.070625,           0.0032639,           0.0032639
                   1,            0.060906,            0.018331,                   0,             0.52447,             0.57725,             0.46082,             0.19256,            0.061579,            0.014236,                   0,            0.040506,           0.0064785,           0.0064785
                   2,            0.057312,            0.015525,                   0,             0.65525,             0.58326,             0.58717,             0.26358,            0.059413,            0.012647,                   0,            0.010267,           0.0095731,           0.0095731
                   3,            0.052082,            0.014357,                   0,             0.40439,               0.603,             0.41747,             0.17734,            0.055921,            0.011878,                   0,             0.00946,             0.00946,             0.00946
                   4,            0.045066,            0.012817,                   0,             0.54593,             0.66825,             0.53341,             0.29785,            0.048365,            0.011127,                   0,             0.00946,             0.00946,             0.00946
                   5,            0.042822,            0.010998,                   0,             0.64459,             0.69742,             0.65038,             0.34788,            0.044518,            0.011122,                   0,             0.00928,             0.00928,             0.00928
                   6,            0.038815,            0.010116,                   0,             0.67134,             0.76609,             0.69602,             0.39789,            0.041171,           0.0099828,                   0,              0.0091,              0.0091,              0.0091
                   7,            0.033753,           0.0091605,                   0,             0.61502,             0.78112,             0.68712,             0.39845,            0.042764,           0.0097593,                   0,             0.00892,             0.00892,             0.00892
                   8,            0.037215,           0.0082215,                   0,             0.67937,             0.77297,             0.68136,             0.37009,            0.043644,           0.0092288,                   0,             0.00874,             0.00874,             0.00874
                   9,            0.033076,            0.007813,                   0,             0.70371,              0.7594,              0.7096,             0.41132,            0.044345,           0.0094348,                   0,             0.00856,             0.00856,             0.00856
                  10,            0.032301,           0.0072055,                   0,             0.73686,             0.76918,             0.71969,             0.43742,            0.041425,           0.0096742,                   0,             0.00838,             0.00838,             0.00838
                  11,            0.029463,           0.0068056,                   0,             0.71185,             0.81641,              0.7219,             0.43148,            0.040225,            0.009783,                   0,              0.0082,              0.0082,              0.0082
                  12,            0.028775,           0.0063514,                   0,             0.72908,             0.83476,             0.73665,             0.44752,            0.039445,           0.0097449,                   0,             0.00802,             0.00802,             0.00802
