               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096963,            0.044678,                   0,             0.39726,             0.33906,             0.26102,             0.11326,            0.066699,             0.02614,                   0,            0.070625,           0.0032639,           0.0032639
                   1,            0.064662,            0.033978,                   0,             0.36769,             0.40987,             0.34899,             0.13419,            0.064103,            0.017701,                   0,            0.040494,           0.0064666,           0.0064666
                   2,            0.061904,            0.030289,                   0,             0.37233,             0.64155,             0.43075,             0.16534,             0.05465,            0.014787,                   0,            0.010232,           0.0095373,           0.0095373
                   3,            0.055509,            0.028391,                   0,             0.46462,             0.46996,             0.46256,             0.22183,            0.047844,            0.015824,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.048978,            0.026801,                   0,             0.56775,             0.59473,             0.54825,             0.25115,            0.046743,            0.015822,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.044982,            0.025736,                   0,             0.40746,             0.67167,             0.43291,             0.17305,             0.04986,            0.015318,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.045351,            0.027164,                   0,              0.6274,             0.73605,             0.70087,             0.33691,             0.04331,             0.01346,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.042183,            0.024463,                   0,             0.69625,             0.81974,             0.74663,              0.4231,            0.037796,            0.013418,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.039786,            0.024992,                   0,             0.67438,             0.77682,             0.73294,             0.37645,            0.037153,            0.013606,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.039895,            0.023758,                   0,             0.60682,             0.82403,             0.72389,              0.3824,            0.037732,             0.01363,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.037891,            0.023885,                   0,             0.59734,             0.83089,             0.69204,             0.38883,              0.0364,            0.013974,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.03592,             0.02273,                   0,             0.65225,             0.83719,             0.75014,             0.43477,            0.037232,            0.013192,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.036309,            0.022311,                   0,             0.69126,             0.83262,             0.72452,              0.4419,            0.036937,            0.013654,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.034854,            0.022152,                   0,             0.67514,             0.87411,             0.75158,             0.46689,            0.036489,            0.013147,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.034866,             0.02202,                   0,             0.67664,             0.84418,             0.75985,             0.47561,            0.032368,            0.013264,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.035748,            0.023172,                   0,             0.72844,             0.83047,             0.76364,              0.4949,            0.032753,            0.013578,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.033308,            0.021924,                   0,             0.70756,             0.82036,             0.76974,             0.49552,            0.033586,            0.013283,                   0,             0.00703,             0.00703,             0.00703
